Employee_ID,Age,Marital_Status,Distance_From_Home,Department,Job_Role,Business_Travel,Education_Field,Monthly_Income,Years_At_Company,Years_Since_Promotion,Job_Satisfaction,Performance_Rating,Work_Life_Balance,Attrition
EMP_2582,44.0,Married,,Manufacturing,Accountant,Non-Travel,Medical,8633.0,14,0,3.0,4,4,Yes
EMP_6927,59.0,single ,25.0,Finance,Production Technician,Travel_Rarely,Med,5637.0,20,4,3.0,2,4,NO
EMP_6436,44.0,Divorced,13.0,Marketing,Customer Service Rep,NO,Life Sciences,21967.0,18,7,2.0,1,3,
EMP_5637,31.0,single ,11.0,Legal,Sales Executive,Travel_Rarely,Marketing,18394.0,6,3,1.0,3,2,yes
EMP_4638,41.0,M,27.0,IT,Software Engineer,Travel_Frequently,Other,9291.0,18,7,4.0,2,1,NO
EMP_3193,46.0,single ,12.0,Operations,Operations Manager,Often,Other,22301.0,19,1,4.0,4,3,no
EMP_4556,24.0,married,4.0,Legal,Marketing Executive,Travel_Rarely,Arts,15802.0,11,6,4.0,1,2,YES
EMP_7043,43.0,S,23.0,Customer Support,HR Manager,Travel_Frequently,Medical,11592.0,17,7,4.0,4,4,NO
EMP_9067,52.0, Married ,22.0,Operations,Manufacturing Director,Travel_Rarely,MBA,16944.0,16,9,3.0,4,4,yes
EMP_5334,37.0,D,22.0,Operations,Supply Chain Manager,Travel_Rarely,Arts,14689.0,14,4,3.0,4,1,no
EMP_8789,50.0,Divorced,20.0,Finance,Recruiter,Travel_Frequently,MBA,23015.0,20,0,1.0,4,2,no
EMP_2267,51.0, Married ,11.0,IT,Legal Counsel,Travel_Frequently,Arts,20369.0,4,0,1.0,1,2,YES
EMP_8955,56.0,,29.0,Legal,Accountant,Non-Travel,Marketing,14267.0,14,4,4.0,3,4,yes
EMP_3780,22.0,,19.0,Manufacturing,Finance Analyst,Travel_Rarely,Arts,15463.0,13,1,3.0,4,1,
EMP_9346,37.0,,30.0,Manufacturing,Paralegal,Travel_Frequently,Med,10419.0,2,2,4.0,4,1,YES
EMP_5568,37.0,,11.0,Operations,Support Specialist,Non-Travel,Med,12146.0,14,0,1.0,4,3,Y
EMP_8251,51.0,,22.0,Customer Support,Production Technician,Travel_Rarely,Med,20404.0,18,9,3.0,2,4,N
EMP_2575,46.0, Married ,30.0,IT,Marketing Manager,Non-Travel,Med,24515.0,1,1,1.0,2,2,Yes
EMP_8500,40.0,,13.0,Finance,Software Engineer,Non-Travel,MBA,12074.0,17,8,3.0,3,4,NO
EMP_7681,29.0,,24.0,Human Resources,Production Technician,Travel_Frequently,Life Sciences,11534.0,15,1,3.0,1,1,Yes
EMP_4595,56.0,single ,24.0,Marketing,Accountant,Non-Travel,Life Sci,20895.0,20,3,4.0,3,4,yes
EMP_1569,27.0,single ,19.0,IT,Legal Counsel,Travel_Rarely,Marketing,18427.0,9,3,3.0,1,3,YES
EMP_5706,30.0,married,5.0,Sales,IT Manager,Non-Travel,Marketing,11560.0,20,2,2.0,1,1,Yes
EMP_2616,51.0,S,14.0,Manufacturing,Sales Executive,Travel_Frequently,Life Sci,18747.0,10,8,2.0,2,2,No
EMP_8869,56.0,married,8.0,Finance,Production Technician,Non-Travel,Technical Degree,,9,5,3.0,2,4,N
EMP_4672,53.0,Single,22.0,Finance,Accountant,Travel_Rarely,Marketing,12036.0,7,4,1.0,3,1,N
EMP_8802,24.0,single ,7.0,Sales ,Production Technician,Non-Travel,Arts,14697.0,100,0,4.0,4,3,no
EMP_7900,24.0,married,26.0,Sales,Accountant,Non-Travel,Life Sci,16002.0,18,6,4.0,3,4,no
EMP_4715,49.0,,16.0,IT,Research Scientist,Travel_Frequently,Technical Degree,7350.0,19,10,,3,4,yes
EMP_2205,29.0,,20.0,Sales,Sales Executive,Travel_Frequently,Life Sci,,19,5,1.0,4,2,NO
EMP_2467,43.0,Divorced,19.0,Legal,Sales Representative,Travel_Rarely,Arts,12653.0,16,2,3.0,3,2,Yes
EMP_6262,38.0,single ,3.0,Finance,Research Scientist,Travel_Rarely,Arts,21788.0,1,1,4.0,4,1,no
EMP_7292,28.0,M,27.0,Operations,Lab Technician,Travel_Rarely,MBA,6557.0,2,1,3.0,4,4,
EMP_7334,57.0,,10.0,Legal,Customer Service Rep,Travel_Frequently,Medical,,18,3,3.0,2,3,yes
EMP_4138,200.0,Divorced,21.0,Research & Development,Legal Counsel,Travel_Rarely,Med,21027.0,16,8,4.0,1,2,yes
EMP_4700,40.0,Married,17.0,Finance,Operations Manager,Travel_Rarely,MBA,21864.0,17,8,1.0,2,3,NO
EMP_8334,32.0,M,29.0,Legal,Operations Manager,Travel_Rarely,MBA,10176.0,17,8,4.0,1,4,
EMP_9056,47.0, Married ,9.0,Human Resources,Sales Representative,Travel_Frequently,Marketing,11184.0,15,9,4.0,1,4,
EMP_8170,60.0,Single,13.0, sales,Lab Technician,Travel_Rarely,Technical Degree,8054.0,6,1,2.0,4,3,N
EMP_3143,34.0,married,26.0,Finance,Support Specialist,Travel_Frequently,Life Sci,19594.0,20,0,4.0,2,2,Y
EMP_9162,54.0, Married ,20.0,Customer Support,HR Manager,Travel_Rarely,Medical,12416.0,4,3,3.0,4,2,Y
EMP_7472,57.0,M,10.0,Legal,Paralegal,Travel_Rarely,Med,7620.0,12,0,4.0,3,2,Active
EMP_4138,29.0,D,5.0,IT,Customer Service Rep,Travel_Frequently,Life Sciences,5857.0,18,9,3.0,2,3,Y
EMP_3694,22.0,single ,20.0,Sales,IT Manager,Travel_Rarely,Life Sci,6362.0,16,6,1.0,2,3,Y
EMP_6140,,M,28.0,Legal,Support Specialist,Non-Travel,Life Sciences,3661.0,10,1,4.0,4,2,No
EMP_7326,38.0,Married,21.0,IT,Sales Representative,Non-Travel,MBA,13139.0,3,2,2.0,2,1,no
EMP_8111,999.0,D,15.0,Manufacturing,HR Manager,Travel_Rarely,Life Sciences,12374.0,8,3,2.0,1,2,Yes
EMP_6484,59.0,married,14.0,Sales,Lab Technician,Non-Travel,Marketing,4093.0,4,2,2.0,3,4,yes
EMP_8077,52.0,M,8.0,Operations,Production Technician,Travel_Frequently,Arts,6066.0,5,1,1.0,3,1,
EMP_5675,54.0,S,28.0,Finance,Customer Service Rep,Travel_Rarely,Technical Degree,12756.0,6,6,1.0,3,3,N
EMP_1430,40.0, Married ,23.0,Operations,Software Engineer,Non-Travel,Life Sciences,20238.0,15,1,1.0,3,2,YES
EMP_8172,46.0, Married ,7.0,Human Resources,TBD,Travel_Frequently,Life Sciences,11673.0,16,5,3.0,1,2,YES
EMP_3577,36.0,S,8.0,IT,Recruiter,Travel_Rarely,Marketing,21302.0,13,0,4.0,2,2,yes
EMP_8572,22.0,single ,20.0,Research & Development,Finance Analyst,Travel_Frequently,Arts,14091.0,3,1,3.0,3,2,Y
EMP_7904,25.0,Married,24.0,Research & Development,Paralegal,Travel_Rarely,MBA,11045.0,10,9,3.0,4,3,No
EMP_6631,40.0, Married ,9.0,IT,Marketing Executive,Travel_Frequently,Life Sciences,11398.0,7,7,4.0,4,3,YES
EMP_7140,55.0,Divorced,19.0,Legal,Research Scientist,Travel_Rarely,Life Sci,11740.0,5,2,4.0,1,2,yes
EMP_6921,25.0,M,4.0,Manufacturing,Finance Analyst,Travel_Rarely,Other,16638.0,11,8,3.0,3,3,Yes
EMP_6368,45.0,S,24.0,Marketing,Sales Representative,Non-Travel,Life Sciences,19092.0,18,5,3.0,2,3,Y
EMP_4854,47.0,Divorced,1.0,R&D,Paralegal,Non-Travel,Med,7657.0,11,6,4.0,1,2,no
EMP_5394,39.0,Single,12.0,Legal,Software Engineer,Travel_Rarely,Med,4507.0,18,0,4.0,2,4,No
EMP_5335,28.0,Married,13.0,Customer Support,Paralegal,Non-Travel,Marketing,15239.0,14,0,1.0,3,3,Y
EMP_7585,31.0,D,28.0,Customer Support,Research Scientist,Travel_Rarely,Other,18769.0,11,0,3.0,2,1,N
EMP_8890,41.0,single ,28.0,Customer Support,Support Specialist,Non-Travel,Marketing,20212.0,5,0,3.0,2,1,YES
EMP_4676,49.0,D,2.0,Marketing,Support Specialist,Travel_Rarely,Marketing,9883.0,1,0,4.0,4,2,YES
EMP_7926,31.0,D,19.0,Legal,Finance Analyst,Travel_Rarely,Med,9968.0,3,1,2.0,3,4,
EMP_2515,26.0,Single,19.0,Legal,Sales Executive,Travel_Rarely,Life Sciences,19039.0,17,8,1.0,3,2,no
EMP_5869,47.0,M,20.0,Customer Support,Analyst ,Travel_Frequently,Technical Degree,20403.0,12,1,2.0,4,1,NO
EMP_7757,46.0,Divorced,1.0,Sales,Customer Service Rep,Non-Travel,Medical,,16,6,,3,3,N
EMP_1361,23.0,Single,12.0,Operations,Support Specialist,Travel_Rarely,Life Sciences,6033.0,10,1,2.0,3,3,No
EMP_6883,41.0,married,8.0,Customer Support,Supply Chain Manager,Non-Travel,Technical Degree,15607.0,14,5,3.0,2,2,YES
EMP_2202,27.0,S,25.0,Marketing,Marketing Executive,Travel_Rarely,Arts,13049.0,2,0,1.0,3,3,
EMP_3583,40.0,,12.0,IT,Support Specialist,Non-Travel,Arts,24718.0,5,0,1.0,3,1,Yes
EMP_5992,58.0,M,10.0,Legal,Recruiter,Non-Travel,Other,16455.0,7,0,4.0,2,3,No
EMP_3453,39.0,Single,30.0,Sales,Supply Chain Manager,Travel_Rarely,Arts,9096.0,10,8,,3,1,no
EMP_5596,55.0, Married ,8.0,Operations,Operations Manager,Non-Travel,Other,21936.0,200,10,4.0,3,1,NO
EMP_2250,30.0,M,22.0,Finance,Operations Manager,Travel_Frequently,Marketing,11649.0,6,6,1.0,1,4,Yes
EMP_9805,42.0,M,12.0,Legal,Research Scientist,Travel_Frequently,Life Sciences,9296.0,6,2,1.0,2,3,No
EMP_8330,40.0, Married ,30.0,Finance,Finance Analyst,Non-Travel,Arts,6823.0,19,3,2.0,3,1,yes
EMP_5391,39.0,Married,17.0,Operations,Lab Technician,Travel_Rarely,Medical,14142.0,7,1,2.0,4,3,
EMP_8123,27.0,M,9.0,Customer Support,Marketing Manager,Travel_Rarely,Life Sci,15698.0,16,4,1.0,4,3,No
EMP_2357,40.0,M,26.0,Operations,Software Engineer,Travel_Rarely,Medical,14276.0,7,2,2.0,3,3,Y
EMP_6632,54.0,D,29.0,IT,Marketing Executive,Non-Travel,MBA,6524.0,5,3,4.0,2,3,No
EMP_2865,42.0, Married ,24.0,Research & Development,HR Manager,Non-Travel,Marketing,6303.0,14,2,4.0,3,1,Yes
EMP_6454,30.0, Married ,2.0,Human Resources,Customer Service Rep,Sometimes,Med,16117.0,8,1,4.0,4,1,No
EMP_9477,31.0, Married ,13.0,Sales,Recruiter,Non-Travel,Other,20657.0,4,4,4.0,3,3,Y
EMP_1320,45.0,Single,19.0,Marketing,Customer Service Rep,Travel_Frequently,Other,19516.0,16,6,3.0,4,1,No
EMP_6491,42.0,S,13.0,Research & Development,HR Manager,Non-Travel,Marketing,15771.0,14,7,1.0,1,4,Yes
EMP_5660,39.0,Divorced,19.0,Research & Development,Software Engineer,Travel_Rarely,Other,12549.0,20,8,1.0,2,1,N
EMP_4062,27.0,D,11.0,Finance,Legal Counsel,Travel_Frequently,MBA,22348.0,17,0,4.0,3,1,Yes
EMP_9715,Unknown,single ,8.0,Marketing,Support Specialist,Travel_Rarely,Technical Degree,8267.0,14,7,3.0,1,1,no
EMP_7618,34.0,Single,30.0,Human Resources,Sales Executive,Travel_Frequently,Medical,9912.0,18,10,4.0,3,3,
EMP_9103,57.0,Single,27.0,Manufacturing,Sales Executive,Travel_Rarely,Technical Degree,10942.0,7,1,1.0,4,4,no
EMP_9299,33.0,single ,24.0,Manufacturing,Accountant,Travel_Frequently,Medical,16049.0,17,3,4.0,3,1,no
EMP_4526,46.0,married,6.0,IT,Marketing Manager,Travel_Rarely,Medical,24106.0,9,7,2.0,3,1,yes
EMP_5503,59.0,Married,21.0,Manufacturing,HR Manager,Travel_Frequently,Arts,14345.0,2,0,3.0,4,1,Leave
EMP_1443,33.0,Divorced,11.0,Customer Support,Marketing Manager,Non-Travel,Medical,5877.0,1,0,1.0,3,1,YES
EMP_9955,52.0,Single,7.0,Research & Development,Paralegal,Travel_Rarely,Life Sci,-100.0,3,0,1.0,2,2,Y
EMP_2465,23.0,Single,18.0,Sales,Finance Analyst,Travel_Frequently,Life Sciences,3923.0,10,5,2.0,3,4,NO
EMP_1169,57.0,married,13.0,Human Resources,Production Technician,Non-Travel,Other,9803.0,18,1,2.0,4,3,
EMP_3795,56.0,S,5.0,Research & Development,Marketing Manager,Non-Travel,Other,24711.0,17,4,3.0,3,3,No
EMP_2373,23.0,D,,Manufacturing,Support Specialist,Non-Travel,Other,21864.0,18,0,3.0,2,4,no
EMP_4570,52.0,single ,11.0,Finance,Support Specialist,Travel_Rarely,Life Sci,24193.0,13,8,4.0,3,2,yes
EMP_4565,54.0,M,29.0,Finance,Production Technician,Travel_Rarely,Med,15445.0,12,7,1.0,4,4,Y
EMP_9049,34.0,,9.0,Operations,Operations Manager,Travel_Frequently,Technical Degree,20020.0,14,2,3.0,2,1,
EMP_7708,55.0,S,24.0,IT,TBD,Travel_Frequently,Med,,10,3,1.0,1,2,no
EMP_4867,33.0,,4.0,Operations,Research Scientist,Non-Travel,Life Sciences,17591.0,7,7,2.0,1,3,yes
EMP_1691,30.0,S,1.0,Sales,Research Scientist,Non-Travel,Arts,11467.0,9,8,2.0,3,1,Y
EMP_9530,22.0,Married,19.0,Marketing,Manufacturing Director,Non-Travel,Technical Degree,19552.0,5,0,3.0,2,4,
EMP_3887,57.0,Married,27.0,Manufacturing,Production Technician,Non-Travel,Arts,13180.0,5,0,2.0,4,4,yes
EMP_1660,30.0,,1.0,Sales,Sales Representative,Travel_Rarely,Life Sci,15125.0,16,3,4.0,1,1,
EMP_2275,47.0, Married ,28.0,Legal,Production Technician,Travel_Rarely,Life Sci,4386.0,14,0,4.0,4,3,No
EMP_1555,33.0,Married,14.0,Operations,Support Specialist,Non-Travel,Arts,11235.0,5,2,1.0,1,3,YES
EMP_2559,-5.0,Married,1.0,Customer Support,Paralegal,Travel_Frequently,MBA,20409.0,8,5,2.0,3,3,yes
EMP_9372,55.0,,13.0,Human Resources,Operations Manager,Non-Travel,Arts,11567.0,6,1,3.0,4,4,Y
EMP_2293,45.0,M,30.0,Legal,Finance Analyst,Travel_Rarely,Other,20015.0,9,1,4.0,3,1,No
EMP_5585,30.0, Married ,18.0,Customer Support,Recruiter,Non-Travel,Other,4972.0,7,5,1.0,4,3,N
EMP_4722,,,16.0,Legal,Lab Technician,Travel_Rarely,Life Sciences,18424.0,17,8,3.0,1,1,YES
EMP_8461,31.0,M,1.0,Legal,Marketing Executive,Travel_Rarely,Life Sci,4514.0,8,7,1.0,4,4,0
EMP_4979,28.0,,27.0,Finance,Support Specialist,Travel_Rarely,Technical Degree,15602.0,7,7,1.0,2,3,yes
EMP_2483,,S,24.0,Sales,Software Engineer,Non-Travel,Technical Degree,18558.0,9,4,1.0,1,3,Y
EMP_8027,23.0,single ,24.0,Customer Support,Research Scientist,Non-Travel,Technical Degree,17663.0,3,0,1.0,2,3,
EMP_6527,27.0,married,3.0,Legal,Accountant,Non-Travel,Arts,11040.0,4,3,4.0,3,4,no
EMP_8360,32.0,Single,5.0,IT,Lab Technician,Travel_Frequently,Marketing,22764.0,16,5,1.0,1,3,YES
EMP_1581,35.0,single ,9.0,Manufacturing,Recruiter,Non-Travel,Arts,21165.0,3,1,,4,1,NO
EMP_6956,48.0,,1.0,Legal,Accountant,Travel_Frequently,Technical Degree,15156.0,1,1,4.0,2,1,
EMP_2301,35.0,Single,29.0,Finance,HR Manager,Travel_Rarely,Arts,22416.0,8,1,3.0,1,4,N
EMP_8007,33.0,M,27.0,Sales,Recruiter,Travel_Rarely,Arts,14028.0,1,1,4.0,1,3,yes
EMP_4938,40.0,Single,11.0,IT,Paralegal,Non-Travel,Medical,5748.0,15,7,4.0,3,2,No
EMP_7486,38.0,,2.0,Human Resources,Lab Technician,Non-Travel,Medical,11275.0,20,5,1.0,1,3,NO
EMP_1872,29.0,D,1.0,Customer Support,IT Manager,Non-Travel,Arts,,8,7,2.0,4,3,Y
EMP_3191,58.0,Single,25.0,Finance,Production Technician,Travel_Frequently,MBA,22411.0,12,3,3.0,1,4,no
EMP_8593,Unknown,married,10.0,Marketing,Customer Service Rep,Travel_Rarely,Arts,16306.0,18,0,3.0,4,4,N
EMP_4791,Twenty Five,single ,1.0,Operations,Sales Executive,Non-Travel,MBA,18200.0,14,7,1.0,2,4,no
EMP_9636,27.0,Divorced,23.0,Finance,Customer Service Rep,Travel_Rarely,Marketing,13112.0,3,0,1.0,2,1,Y
EMP_1027,58.0,D,7.0,Customer Support,Marketing Executive,Travel_Frequently,Life Sci,11346.0,2,2,4.0,1,3,NO
EMP_6414,-5.0,S,6.0,Human Resources,Sales Executive,Travel_Frequently,Arts,9012.0,4,0,3.0,3,2,yes
EMP_7195,22.0,,13.0,Customer Support,Paralegal,Non-Travel,Medical,4378.0,7,2,2.0,3,3,Y
EMP_3416,42.0,S,22.0,Finance,Manufacturing Director,Travel_Rarely,Life Sci,13371.0,1,0,4.0,3,1,N
EMP_9271,,Married,27.0,Operations,Accountant,Travel_Frequently,Arts,18744.0,11,1,1.0,1,2,YES
EMP_5846,53.0,Married,7.0,Customer Support,Supply Chain Manager,Travel_Rarely,MBA,10423.0,5,1,1.0,1,3,yes
EMP_3060,41.0,S,20.0,Operations,Recruiter,Non-Travel,Other,23000.0,8,5,,4,1,Y
EMP_2496,41.0,D,6.0,Legal,Customer Service Rep,Travel_Frequently,Medical,21410.0,15,0,1.0,1,4,No
EMP_6460,36.0,Married,4.0,Research & Development,Customer Service Rep,Travel_Frequently,Marketing,7219.0,5,2,3.0,4,2,No
EMP_1786,43.0, Married ,12.0,Customer Support,Supply Chain Manager,Non-Travel,Med,8236.0,8,2,,4,3,no
EMP_9114,33.0,married,29.0,Legal,Paralegal,Non-Travel,Life Sciences,10260.0,11,1,2.0,4,2,No
EMP_7151,34.0,Single,14.0,R&D,Recruiter,Travel_Rarely,Marketing,3229.0,17,2,3.0,1,1,0
EMP_8242,25.0, Married ,21.0,Marketing,Marketing Manager,Non-Travel,Marketing,18869.0,8,1,1.0,4,4,Yes
EMP_2397,60.0, Married ,21.0,,Finance Analyst,Non-Travel,Medical,10392.0,17,9,4.0,2,2,NO
EMP_6303,40.0,S,18.0,IT,Paralegal,Travel_Rarely,Marketing,19059.0,7,2,3.0,1,2,N
EMP_5992,58.0,married,20.0,Finance,Marketing Executive,Travel_Frequently,MBA,15913.0,18,8,1.0,2,2,False
EMP_8535,60.0,D,17.0,Legal,Lab Technician,Non-Travel,Technical Degree,20405.0,9,4,2.0,4,1,
EMP_4448,45.0,D,15.0,Manufacturing,HR Manager,Travel_Rarely,MBA,19294.0,3,0,2.0,2,3,
EMP_4200,,D,18.0,Marketing,Supply Chain Manager,Travel_Frequently,Other,22071.0,18,8,3.0,2,1,Y
EMP_1684,,married,20.0,Manufacturing,Sales Representative,Non-Travel,Life Sciences,23611.0,12,8,2.0,2,4,Y
EMP_4246,52.0,single ,4.0,Research & Development,Marketing Manager,Travel_Frequently,MBA,14254.0,4,1,2.0,4,4,YES
EMP_7395,57.0,M,9.0,Manufacturing,Operations Manager,Travel_Frequently,Other,14696.0,11,5,4.0,2,1,Stay
EMP_7776,55.0,Single,12.0,Finance,Customer Service Rep,Travel_Rarely,Technical Degree,8685.0,1,1,4.0,2,1,N
EMP_5416,52.0,married,27.0,Customer Support,Sales Representative,Travel_Frequently,MBA,15205.0,2,0,3.0,1,1,N
EMP_9660,41.0,S,20.0,Research & Development,HR Manager,Travel_Rarely,Technical Degree,8577.0,18,10,1.0,4,2,NO
EMP_2902,29.0,married,,Finance,Production Technician,Travel_Frequently,Med,10172.0,3,1,1.0,4,1,No
EMP_5476,56.0,Divorced,24.0,Operations,Lab Technician,,Technical Degree,N/A,6,0,1.0,1,2,N
EMP_9290,54.0,single ,11.0,Operations,Recruiter,Travel_Frequently,Arts,13932.0,10,7,4.0,1,4,0
EMP_3599,45.0,Married,30.0,Legal,Software Engineer,Travel_Rarely,Technical Degree,13801.0,16,8,3.0,2,4,
EMP_8543,29.0,Divorced,2.0,Customer Support,Production Technician,Non-Travel,Technical Degree,14447.0,12,2,3.0,2,1,Stay
EMP_2958,22.0,married,19.0,Manufacturing,Accountant,Non-Travel,Marketing,6266.0,5,3,1.0,1,1,Y
EMP_7973,32.0,M,8.0,Operations,Manufacturing Director,Travel_Frequently,MBA,,1,1,1.0,3,2,no
EMP_8763,28.0,Divorced,2.0,Human Resources,Sales Representative,Travel_Frequently,Arts,18132.0,12,2,4.0,1,2,yes
EMP_1623,36.0,Divorced,11.0,Research & Development,Operations Manager,Non-Travel,Medical,24023.0,17,10,4.0,4,4,YES
EMP_3485,41.0,M,6.0,Legal,Legal Counsel,Travel_Frequently,Other,11387.0,20,5,3.0,4,2,no
EMP_5654,52.0,,28.0,Operations,Marketing Executive,Travel_Rarely,Med,16195.0,7,1,4.0,4,4,Y
EMP_3140,999.0,Divorced,23.0,Sales,Manufacturing Director,Non-Travel,Arts,13711.0,5,4,2.0,4,1,
EMP_8846,46.0,M,23.0,Manufacturing,Operations Manager,Travel_Rarely,Life Sciences,10625.0,4,4,4.0,2,2,Yes
EMP_6186,53.0,single ,,Research & Development,HR Manager,Travel_Rarely,Life Sci,5912.0,11,5,2.0,3,4,yes
EMP_7245,44.0,,27.0,Research & Development,Support Specialist,Travel_Frequently,Medical,8872.0,1,0,3.0,4,3,No
EMP_9522,34.0,Married,4.0,Customer Support,Marketing Manager,Travel_Frequently,MBA,15704.0,19,7,2.0,3,1,False
EMP_5243,56.0,,8.0,Legal,HR Manager,Travel_Frequently,Other,8915.0,13,10,2.0,2,1,No
EMP_8907,51.0,Single,9.0,Customer Support,Lab Technician,Travel_Rarely,Other,10150.0,15,4,4.0,3,1,N
EMP_8894,26.0,Single,26.0, sales,Legal Counsel,Non-Travel,Medical,23037.0,3,2,4.0,1,3,
EMP_1738,38.0,single ,29.0,Finance,Marketing Manager,Travel_Rarely,Life Sci,16068.0,1,0,3.0,3,4,Yes
EMP_4365,26.0,,10.0,Manufacturing,Finance Analyst,Travel_Rarely,Arts,24875.0,1,0,1.0,1,1,yes
EMP_6013,56.0,Single,28.0,Manufacturing,Recruiter,Travel_Rarely,MBA,10750.0,14,8,2.0,2,3,Y
EMP_7722,58.0, Married ,3.0,Operations,Staff ,Travel_Rarely,Marketing,6631.0,6,1,2.0,3,2,NO
EMP_7401,52.0, Married ,12.0,Research & Development,Marketing Executive,Non-Travel,Marketing,23138.0,19,5,3.0,1,1,NO
EMP_4913,54.0,,3.0,Human Resources,Marketing Manager,Non-Travel,Med,16001.0,12,8,1.0,2,2,yes
EMP_1431,26.0,single ,23.0,Operations,Paralegal,Non-Travel,Other,10907.0,13,9,1.0,4,3,YES
EMP_3369,31.0, Married ,13.0,Marketing,IT Manager,Non-Travel,Life Sci,16448.0,5,0,3.0,3,1,NO
EMP_1770,56.0,Divorced,4.0,Legal,Paralegal,Travel_Rarely,Life Sciences,14503.0,1,1,1.0,4,4,Y
EMP_4751,40.0,single ,14.0,Human Resources,Sales Representative,Travel_Frequently,Life Sciences,17575.0,3,2,3.0,1,3,yes
EMP_6547,,S,16.0,Sales,Accountant,Travel_Frequently,Marketing,16603.0,12,10,4.0,1,3,No
EMP_6972,59.0,married,9.0,Legal,Marketing Executive,Travel_Rarely,Other,6326.0,15,4,3.0,3,1,YES
EMP_2637,60.0,Single,24.0,IT,Research Scientist,Travel_Frequently,Technical Degree,100000.0,8,0,3.0,2,1,YES
EMP_1309,55.0,married,24.0,Customer Support,Sales Representative,Travel_Rarely,Life Sciences,16741.0,6,3,3.0,3,3,
EMP_7290,23.0, Married ,13.0,Human Resources,Paralegal,Non-Travel,Technical Degree,21647.0,5,5,3.0,1,3,Y
EMP_5688,47.0,D,22.0,IT,Support Specialist,Non-Travel,Med,,7,4,4.0,2,2,NO
EMP_7395,53.0,married,18.0,Marketing,Legal Counsel,Travel_Frequently,MBA,16872.0,11,10,2.0,3,3,Y
EMP_4454,32.0,Single,3.0,Operations,Support Specialist,Travel_Rarely,Med,21318.0,10,3,2.0,3,3,no
EMP_2482,29.0,,15.0,Research & Development,Marketing Manager,Non-Travel,MBA,10265.0,8,8,4.0,4,2,no
