EmployeeID,Age,MaritalStatus,DistanceFromHome,Department,JobRole,BusinessTravel,EducationField,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,Performance_Rating,Work_Life_Balance,Attrition,Attrition_Predicted,Probability,Risk
EMP_9955,52.0,Single,7.0,Unknown,Paralegal,Travel_Rarely,Life Sciences,13974.5,3,0,1.0,2,2,1,1,66.54,High Risk
EMP_4867,33.0,Unknown,4.0,Operations,Research Scientist,Non-Travel,Life Sciences,17591.0,7,7,2.0,1,3,1,1,68.76,High Risk
EMP_1691,30.0,Single,1.0,Sales,Research Scientist,Non-Travel,Arts,11467.0,9,8,2.0,3,1,1,1,67.97,High Risk
EMP_1555,33.0,Married,14.0,Operations,Support Specialist,Non-Travel,Arts,11235.0,5,2,1.0,1,3,1,1,65.4,High Risk
EMP_2559,41.0,Married,1.0,Customer Support,Paralegal,Travel_Frequently,MBA,20409.0,8,5,2.0,3,3,1,1,60.96,High Risk
EMP_9372,55.0,Unknown,13.0,Human Resources,Operations Manager,Non-Travel,Arts,11567.0,6,1,3.0,4,4,1,1,69.39,High Risk
EMP_4722,41.0,Unknown,16.0,Legal,Lab Technician,Travel_Rarely,Life Sciences,18424.0,17,8,3.0,1,1,1,1,68.49,High Risk
EMP_4979,28.0,Unknown,27.0,Finance,Support Specialist,Travel_Rarely,Technical Degree,15602.0,7,7,1.0,2,3,1,1,66.02,High Risk
EMP_8360,32.0,Single,5.0,IT,Lab Technician,Travel_Frequently,Marketing,22764.0,16,5,1.0,1,3,1,1,64.58,High Risk
EMP_8007,33.0,Married,27.0,Sales,Recruiter,Travel_Rarely,Arts,14028.0,1,1,4.0,1,3,1,1,65.66,High Risk
EMP_1872,29.0,Divorced,1.0,Customer Support,IT Manager,Non-Travel,Arts,13974.5,8,7,2.0,4,3,1,1,66.81,High Risk
EMP_9636,27.0,Divorced,23.0,Finance,Customer Service Rep,Travel_Rarely,Marketing,13112.0,3,0,1.0,2,1,1,1,62.46,High Risk
EMP_6414,41.0,Single,6.0,Human Resources,Sales Executive,Travel_Frequently,Arts,9012.0,4,0,3.0,3,2,1,1,68.59,High Risk
EMP_7195,22.0,Unknown,13.0,Customer Support,Paralegal,Non-Travel,Medical,4378.0,7,2,2.0,3,3,1,1,66.35,High Risk
EMP_9271,41.0,Married,27.0,Operations,Accountant,Travel_Frequently,Arts,18744.0,11,1,1.0,1,2,1,1,68.04,High Risk
EMP_5846,53.0,Married,7.0,Customer Support,Supply Chain Manager,Travel_Rarely,MBA,10423.0,5,1,1.0,1,3,1,1,68.65,High Risk
EMP_3060,41.0,Single,20.0,Operations,Recruiter,Non-Travel,Other,23000.0,8,5,2.0,4,1,1,1,69.41,High Risk
EMP_4200,41.0,Divorced,18.0,Marketing,Supply Chain Manager,Travel_Frequently,Other,22071.0,18,8,3.0,2,1,1,1,60.58,High Risk
EMP_4246,52.0,Single,4.0,Unknown,Marketing Manager,Travel_Frequently,MBA,14254.0,4,1,2.0,4,4,1,1,75.75,High Risk
EMP_2958,22.0,Married,19.0,Manufacturing,Accountant,Non-Travel,Marketing,6266.0,5,3,1.0,1,1,1,1,62.29,High Risk
EMP_8763,28.0,Divorced,2.0,Human Resources,Sales Representative,Travel_Frequently,Arts,18132.0,12,2,4.0,1,2,1,1,66.56,High Risk
EMP_1623,36.0,Divorced,11.0,Unknown,Operations Manager,Non-Travel,Medical,24023.0,17,10,4.0,4,4,1,1,65.7,High Risk
EMP_5654,52.0,Unknown,28.0,Operations,Marketing Executive,Travel_Rarely,Medical,16195.0,7,1,4.0,4,4,1,1,66.03,High Risk
EMP_8846,46.0,Married,23.0,Manufacturing,Operations Manager,Travel_Rarely,Life Sciences,10625.0,4,4,4.0,2,2,1,1,63.56,High Risk
EMP_6186,53.0,Single,16.0,Unknown,HR Manager,Travel_Rarely,Life Sciences,5912.0,11,5,2.0,3,4,1,1,61.16,High Risk
EMP_1738,38.0,Single,29.0,Finance,Marketing Manager,Travel_Rarely,Life Sciences,16068.0,1,0,3.0,3,4,1,1,65.75,High Risk
EMP_1431,26.0,Single,23.0,Operations,Paralegal,Non-Travel,Other,10907.0,13,9,1.0,4,3,1,1,64.85,High Risk
EMP_1770,56.0,Divorced,4.0,Legal,Paralegal,Travel_Rarely,Life Sciences,14503.0,1,1,1.0,4,4,1,1,61.55,High Risk
EMP_4751,40.0,Single,14.0,Human Resources,Sales Representative,Travel_Frequently,Life Sciences,17575.0,3,2,3.0,1,3,1,1,68.61,High Risk
EMP_6972,59.0,Married,9.0,Legal,Marketing Executive,Travel_Rarely,Other,6326.0,15,4,3.0,3,1,1,1,65.04,High Risk
EMP_2637,60.0,Single,24.0,IT,Research Scientist,Travel_Frequently,Technical Degree,100000.0,8,0,3.0,2,1,1,1,70.05,High Risk
EMP_7290,23.0,Married,13.0,Human Resources,Paralegal,Non-Travel,Technical Degree,21647.0,5,5,3.0,1,3,1,1,60.59,High Risk
EMP_8014,54.0,Married,5.0,Sales,IT Manager,Non-Travel,Life Sciences,12979.0,20,1,1.0,1,2,1,1,65.46,High Risk
EMP_7777,28.0,Single,13.0,Operations,Lab Technician,Travel_Rarely,Medical,24645.0,7,2,2.0,2,3,1,1,64.9,High Risk
EMP_2937,52.0,Single,4.0,Sales,Supply Chain Manager,Travel_Frequently,Medical,5338.0,20,3,3.0,4,3,1,1,65.45,High Risk
EMP_2640,36.0,Divorced,23.0,Legal,Operations Manager,Travel_Rarely,Marketing,20395.0,6,2,2.0,4,2,1,1,66.07,High Risk
EMP_4992,56.0,Divorced,15.0,Human Resources,Accountant,Travel_Frequently,Medical,16133.0,19,6,2.0,3,2,1,1,64.64,High Risk
EMP_4660,49.0,Married,21.0,Human Resources,Marketing Manager,Non-Travel,Medical,4570.0,1,0,1.0,2,3,1,1,68.31,High Risk
EMP_6941,60.0,Married,4.0,Operations,HR Manager,Travel_Frequently,Marketing,7850.0,15,5,2.0,1,1,1,1,71.51,High Risk
EMP_5100,41.0,Single,7.0,Sales,IT Manager,Travel_Frequently,Technical Degree,21397.0,18,7,2.0,2,3,1,1,61.86,High Risk
EMP_4010,33.0,Unknown,10.0,Sales,Finance Analyst,Travel_Rarely,Marketing,6465.0,15,8,3.0,2,2,1,1,68.55,High Risk
EMP_7826,58.0,Single,26.0,Finance,Supply Chain Manager,Travel_Rarely,Medical,8548.0,12,3,3.0,1,3,1,1,67.11,High Risk
EMP_9385,27.0,Divorced,16.0,Unknown,Marketing Executive,Travel_Rarely,Arts,23480.0,6,3,1.0,1,2,1,1,61.85,High Risk
EMP_1706,52.0,Married,9.0,Finance,Legal Counsel,Non-Travel,Marketing,100000.0,11,2,4.0,2,2,1,1,65.05,High Risk
EMP_6093,41.0,Married,4.0,Customer Support,Customer Service Rep,Travel_Frequently,Technical Degree,12529.0,16,3,3.0,4,3,1,1,60.62,High Risk
EMP_1932,57.0,Married,3.0,Operations,Legal Counsel,Travel_Rarely,Technical Degree,21397.0,16,8,3.0,4,1,1,1,61.84,High Risk
EMP_5689,59.0,Married,9.0,IT,Sales Representative,Travel_Frequently,Medical,19043.0,19,6,4.0,1,2,1,1,69.24,High Risk
EMP_4098,54.0,Single,5.0,Sales,HR Manager,Travel_Frequently,Technical Degree,21786.0,10,2,1.0,3,2,1,1,64.7,High Risk
EMP_2243,58.0,Divorced,16.0,IT,Research Scientist,Travel_Frequently,Technical Degree,24910.0,9,3,3.0,2,3,1,1,69.23,High Risk
EMP_1620,33.0,Married,27.0,Legal,IT Manager,Travel_Rarely,Other,4469.0,12,4,1.0,4,1,1,1,66.44,High Risk
EMP_7105,26.0,Divorced,3.0,Customer Support,Research Scientist,Travel_Rarely,MBA,5797.0,3,3,1.0,3,1,1,1,71.31,High Risk
EMP_7289,44.0,Single,27.0,Human Resources,Customer Service Rep,Travel_Frequently,Other,10685.0,3,3,3.0,4,3,1,1,65.97,High Risk
EMP_2723,38.0,Married,23.0,Manufacturing,Supply Chain Manager,Travel_Frequently,Medical,12053.0,6,4,3.0,1,2,1,1,64.65,High Risk
EMP_4777,23.0,Married,16.0,IT,Marketing Executive,Travel_Frequently,Technical Degree,17071.0,7,3,4.0,4,1,1,1,63.27,High Risk
EMP_4555,37.0,Divorced,9.0,Sales,Sales Executive,Travel_Frequently,Marketing,8668.0,3,2,3.0,2,2,1,1,60.75,High Risk
EMP_7475,37.0,Unknown,21.0,Human Resources,Customer Service Rep,Travel_Frequently,Medical,10301.0,3,0,1.0,2,3,1,1,74.13,High Risk
EMP_6122,24.0,Married,29.0,Operations,IT Manager,Non-Travel,Arts,13974.5,17,0,2.0,2,3,1,1,67.36,High Risk
EMP_3097,23.0,Married,30.0,IT,Finance Analyst,Travel_Frequently,Medical,13974.5,16,10,2.0,2,1,1,1,64.14,High Risk
EMP_7584,59.0,Single,9.0,Finance,Recruiter,Travel_Rarely,Other,20511.0,10,7,1.0,3,4,1,1,65.89,High Risk
EMP_7574,46.0,Married,15.0,Manufacturing,Sales Executive,Non-Travel,Life Sciences,15780.0,11,3,2.0,3,4,1,1,62.23,High Risk
EMP_5672,41.0,Divorced,12.0,Unknown,Recruiter,Non-Travel,Life Sciences,18134.0,19,4,4.0,1,4,1,1,60.79,High Risk
EMP_7960,56.0,Divorced,12.0,Finance,Customer Service Rep,Travel_Frequently,Arts,12644.0,8,7,2.0,2,3,1,1,65.38,High Risk
EMP_7908,37.0,Single,12.0,Sales,Sales Representative,Non-Travel,Medical,10816.0,7,1,1.0,2,1,1,1,66.72,High Risk
EMP_2266,60.0,Married,11.0,Marketing,Marketing Executive,Travel_Frequently,Marketing,16353.0,12,1,3.0,3,3,1,1,66.08,High Risk
EMP_8350,41.0,Unknown,26.0,Sales,Finance Analyst,Travel_Frequently,Other,9434.0,17,6,3.0,3,2,1,1,63.02,High Risk
EMP_8834,27.0,Married,4.0,IT,Production Technician,Non-Travel,MBA,16350.0,11,3,4.0,3,1,1,1,61.45,High Risk
EMP_2329,38.0,Single,13.0,Operations,Software Engineer,Travel_Rarely,Medical,17637.0,20,5,2.0,3,4,1,1,60.88,High Risk
EMP_3713,44.0,Divorced,11.0,Legal,Production Technician,Travel_Frequently,Marketing,13974.5,5,1,3.0,2,1,1,1,65.12,High Risk
EMP_7694,52.0,Single,5.0,IT,Production Technician,Non-Travel,Technical Degree,8366.0,7,3,1.0,2,1,1,1,61.54,High Risk
EMP_9617,44.0,Divorced,3.0,Operations,Customer Service Rep,Travel_Frequently,Technical Degree,6750.0,9,9,4.0,1,2,1,1,63.55,High Risk
EMP_8812,59.0,Married,19.0,Operations,Production Technician,Travel_Rarely,Arts,9854.0,7,3,3.0,2,3,1,1,71.11,High Risk
EMP_5019,25.0,Single,25.0,Marketing,HR Manager,Travel_Rarely,Arts,13974.5,19,7,1.0,4,2,1,1,61.56,High Risk
EMP_5287,45.0,Divorced,23.0,Operations,Research Scientist,Non-Travel,Marketing,6045.0,12,5,4.0,1,4,1,1,64.69,High Risk
EMP_7916,24.0,Single,26.0,Sales,Research Scientist,Travel_Frequently,Life Sciences,13786.0,7,3,1.0,3,1,1,1,65.95,High Risk
EMP_5678,45.0,Divorced,5.0,Unknown,Executive,Travel_Rarely,Medical,20689.0,6,6,4.0,2,2,1,1,60.87,High Risk
EMP_1897,56.0,Married,14.0,Unknown,Marketing Executive,Non-Travel,MBA,8725.0,5,0,3.0,4,4,1,1,61.53,High Risk
EMP_8488,58.0,Single,17.0,Legal,Marketing Manager,Travel_Rarely,Other,9230.0,13,2,1.0,3,1,1,1,75.87,High Risk
EMP_7686,41.0,Divorced,12.0,IT,Support Specialist,Travel_Frequently,Technical Degree,18391.0,6,2,1.0,1,3,1,1,61.14,High Risk
EMP_3797,42.0,Single,4.0,Sales,Supply Chain Manager,Travel_Frequently,Arts,6767.0,17,2,2.0,1,3,1,1,66.07,High Risk
EMP_8909,51.0,Married,27.0,Sales,Research Scientist,Travel_Frequently,Medical,5638.0,6,4,1.0,3,4,1,1,67.43,High Risk
EMP_9695,60.0,Divorced,1.0,Unknown,Sales Executive,Travel_Frequently,Life Sciences,18469.0,6,3,3.0,2,1,1,1,61.55,High Risk
EMP_4284,55.0,Single,18.0,Manufacturing,Research Scientist,Travel_Frequently,Life Sciences,7326.0,14,5,2.0,4,2,1,1,60.05,High Risk
EMP_3506,56.0,Single,1.0,Legal,Lab Technician,Non-Travel,Technical Degree,13974.5,7,4,4.0,2,3,1,1,60.6,High Risk
EMP_4809,31.0,Single,17.0,Human Resources,Marketing Manager,Travel_Rarely,Life Sciences,17960.0,12,1,3.0,4,1,1,1,60.69,High Risk
EMP_3967,28.0,Married,20.0,Unknown,Paralegal,Travel_Rarely,Life Sciences,11863.0,19,5,2.0,1,1,1,1,61.14,High Risk
EMP_9584,58.0,Married,30.0,Operations,HR Manager,Non-Travel,Life Sciences,14740.0,13,4,3.0,2,2,1,1,68.16,High Risk
EMP_3571,60.0,Unknown,4.0,Finance,HR Manager,Travel_Rarely,MBA,14174.0,1,0,2.0,3,4,1,1,72.87,High Risk
EMP_4204,27.0,Divorced,25.0,Customer Support,HR Manager,Travel_Rarely,Marketing,7054.0,4,4,4.0,4,2,1,1,69.57,High Risk
EMP_2363,51.0,Single,1.0,Marketing,HR Manager,Non-Travel,Marketing,11106.0,1,1,1.0,3,1,1,1,67.76,High Risk
EMP_5458,53.0,Married,21.0,Operations,Operations Manager,Non-Travel,MBA,14596.0,17,3,3.0,1,1,1,1,64.61,High Risk
EMP_5549,56.0,Married,4.0,Marketing,Sales Representative,Travel_Rarely,Medical,21624.0,20,6,3.0,1,4,1,1,60.61,High Risk
EMP_4153,50.0,Married,9.0,Customer Support,Support Specialist,Travel_Frequently,Medical,24333.0,13,10,2.0,2,4,1,1,63.61,High Risk
EMP_4840,27.0,Married,9.0,Operations,Marketing Executive,Travel_Rarely,Technical Degree,6419.0,5,5,2.0,4,3,1,1,63.21,High Risk
EMP_9866,38.0,Single,16.0,Finance,Lab Technician,Travel_Rarely,Technical Degree,13069.0,16,6,3.0,4,3,1,1,62.74,High Risk
EMP_7003,42.0,Married,2.0,Legal,Sales Executive,Travel_Rarely,Arts,3922.0,19,0,2.0,4,1,1,1,66.44,High Risk
EMP_7437,41.0,Divorced,8.0,Legal,Marketing Executive,Travel_Rarely,MBA,14079.0,19,3,4.0,4,3,1,1,64.23,High Risk
EMP_7792,40.0,Single,19.0,Human Resources,Software Engineer,Non-Travel,Life Sciences,5627.0,9,8,4.0,1,2,1,1,67.06,High Risk
EMP_9156,32.0,Single,7.0,Manufacturing,Research Scientist,Non-Travel,Medical,24355.0,2,0,4.0,2,1,1,1,62.82,High Risk
EMP_8796,58.0,Divorced,25.0,Sales,Manufacturing Director,Travel_Rarely,MBA,4732.0,19,8,2.0,2,1,1,1,63.89,High Risk
EMP_5883,36.0,Married,5.0,Sales,Supply Chain Manager,Travel_Rarely,Marketing,13974.5,18,4,2.0,1,1,1,1,69.13,High Risk
EMP_4732,40.0,Married,25.0,Unknown,IT Manager,Travel_Rarely,Medical,7668.0,1,1,4.0,4,1,1,1,60.59,High Risk
EMP_8378,56.0,Unknown,20.0,Operations,Supply Chain Manager,Non-Travel,Marketing,5446.0,2,2,4.0,2,3,1,1,68.32,High Risk
EMP_8613,54.0,Divorced,24.0,Manufacturing,Research Scientist,Non-Travel,Medical,24762.0,1,0,4.0,1,3,1,1,63.99,High Risk
EMP_8404,40.0,Married,28.0,Legal,Support Specialist,Travel_Rarely,Arts,4822.0,13,8,2.0,4,1,1,1,60.07,High Risk
EMP_8913,53.0,Divorced,11.0,Customer Support,HR Manager,Non-Travel,Life Sciences,24365.0,8,5,4.0,1,4,1,1,63.75,High Risk
EMP_3913,55.0,Married,4.0,Operations,Production Technician,Travel_Rarely,MBA,14676.0,19,5,4.0,4,4,1,1,64.97,High Risk
EMP_1927,55.0,Married,4.0,IT,Finance Analyst,Travel_Frequently,Other,3828.0,40,2,1.0,2,1,1,1,68.31,High Risk
EMP_5907,35.0,Married,24.0,Sales,Marketing Manager,Travel_Frequently,Medical,7573.0,4,4,1.0,4,2,1,1,67.72,High Risk
EMP_6658,26.0,Married,18.0,Manufacturing,HR Manager,Travel_Rarely,Medical,19746.0,17,0,4.0,3,2,1,1,63.06,High Risk
EMP_2425,27.0,Divorced,20.0,Marketing,Production Technician,Travel_Frequently,Arts,7137.0,15,4,2.0,4,1,1,1,63.57,High Risk
EMP_6710,33.0,Married,5.0,Unknown,Sales Representative,Non-Travel,Arts,8664.0,10,7,1.0,2,3,1,1,64.9,High Risk
EMP_7626,53.0,Single,13.0,Unknown,Support Specialist,Travel_Rarely,Life Sciences,14862.0,19,2,4.0,2,4,1,1,62.72,High Risk
EMP_2577,44.0,Married,27.0,Marketing,Sales Representative,Travel_Rarely,Marketing,24837.0,8,8,3.0,4,4,1,1,62.96,High Risk
EMP_7534,40.0,Single,11.0,Human Resources,Operations Manager,Travel_Frequently,Medical,4819.0,3,3,1.0,1,2,1,1,65.43,High Risk
EMP_2322,33.0,Divorced,6.0,Sales,Research Scientist,Non-Travel,Medical,18175.0,4,0,2.0,3,1,1,1,69.51,High Risk
EMP_8697,46.0,Single,10.0,Unknown,Marketing Executive,Travel_Rarely,Medical,12662.0,10,6,2.0,3,4,1,1,61.2,High Risk
EMP_5355,28.0,Single,3.0,Legal,Accountant,Travel_Rarely,Arts,9885.0,7,2,4.0,1,1,1,1,71.22,High Risk
EMP_5631,54.0,Single,1.0,Finance,Research Scientist,Travel_Rarely,Arts,4312.0,15,1,1.0,2,2,1,1,65.11,High Risk
EMP_6046,39.0,Married,8.0,Customer Support,Marketing Manager,Travel_Frequently,Medical,21268.0,11,3,1.0,1,4,1,1,64.25,High Risk
EMP_2868,56.0,Single,16.0,Customer Support,Marketing Manager,Travel_Rarely,Other,14881.0,2,1,2.0,4,4,1,1,73.63,High Risk
EMP_9430,39.0,Divorced,19.0,IT,Paralegal,Travel_Rarely,Life Sciences,24861.0,6,0,4.0,3,2,1,1,61.87,High Risk
EMP_5373,22.0,Married,5.0,Sales,Customer Service Rep,Travel_Rarely,Technical Degree,18435.0,15,5,3.0,3,3,1,1,62.75,High Risk
EMP_6636,31.0,Single,18.0,Legal,Legal Counsel,Travel_Frequently,Arts,15016.0,12,5,2.0,1,4,1,1,60.29,High Risk
EMP_3607,49.0,Married,2.0,Operations,HR Manager,Travel_Frequently,Marketing,11377.0,8,7,2.0,1,2,1,1,66.84,High Risk
EMP_5955,41.0,Married,28.0,Manufacturing,Lab Technician,Travel_Frequently,Marketing,3283.0,15,8,1.0,2,4,1,1,66.03,High Risk
EMP_1445,44.0,Single,15.0,Legal,Operations Manager,Non-Travel,Other,19121.0,18,3,2.0,4,1,1,1,67.93,High Risk
EMP_2693,54.0,Divorced,4.0,Unknown,Supply Chain Manager,Non-Travel,Medical,16376.0,15,4,2.0,2,3,1,1,64.61,High Risk
EMP_7171,23.0,Divorced,9.0,Sales,Manufacturing Director,Travel_Rarely,Marketing,7112.0,20,4,3.0,4,4,1,1,66.72,High Risk
EMP_4219,46.0,Married,2.0,Operations,Marketing Manager,Travel_Rarely,Life Sciences,24487.0,8,4,4.0,2,2,1,1,67.16,High Risk
EMP_5183,27.0,Single,9.0,Operations,Manufacturing Director,Non-Travel,Life Sciences,5538.0,5,4,1.0,2,4,1,1,65.01,High Risk
EMP_3285,52.0,Married,22.0,Customer Support,Recruiter,Non-Travel,Medical,24062.0,15,5,2.0,4,2,1,1,62.23,High Risk
EMP_1842,31.0,Unknown,30.0,Operations,Sales Representative,Unknown,Medical,6533.0,10,6,2.0,4,4,1,1,68.49,High Risk
EMP_3376,53.0,Single,25.0,Unknown,Marketing Manager,Travel_Frequently,MBA,4110.0,5,2,1.0,4,3,1,1,74.26,High Risk
EMP_5396,39.0,Single,20.0,Manufacturing,Sales Representative,Non-Travel,Arts,17580.0,2,1,3.0,4,4,1,1,70.36,High Risk
EMP_4093,30.0,Single,29.0,Sales,Analyst,Travel_Rarely,Medical,23978.0,6,0,1.0,4,3,1,1,64.97,High Risk
EMP_6509,54.0,Married,26.0,Legal,Supply Chain Manager,Non-Travel,Arts,13974.5,20,10,1.0,1,3,1,1,65.34,High Risk
EMP_5830,35.0,Unknown,26.0,Finance,Sales Representative,Travel_Frequently,MBA,14429.0,14,7,1.0,2,1,1,1,68.85,High Risk
EMP_5504,60.0,Married,4.0,Sales,Recruiter,Non-Travel,Marketing,22444.0,6,1,4.0,3,1,1,1,68.57,High Risk
EMP_5573,53.0,Single,28.0,Marketing,Operations Manager,Non-Travel,Arts,10092.0,19,7,4.0,4,2,1,1,62.04,High Risk
EMP_8289,35.0,Divorced,9.0,Unknown,Finance Analyst,Travel_Frequently,Marketing,14722.0,9,8,2.0,4,4,1,1,61.39,High Risk
EMP_1181,42.0,Married,1.0,Operations,Marketing Executive,Travel_Frequently,Arts,10142.0,6,5,3.0,3,2,1,1,64.34,High Risk
EMP_1283,37.0,Married,13.0,Manufacturing,Finance Analyst,Non-Travel,Medical,3618.0,14,10,1.0,2,2,1,1,60.1,High Risk
EMP_8104,36.0,Unknown,20.0,Finance,Manager,Travel_Frequently,Marketing,14493.0,7,1,1.0,2,2,1,1,66.7,High Risk
EMP_9379,47.0,Divorced,3.0,Marketing,Paralegal,Travel_Frequently,Medical,4604.0,18,7,2.0,2,2,1,1,63.19,High Risk
EMP_1805,45.0,Single,4.0,IT,Paralegal,Travel_Rarely,Medical,9699.0,5,3,2.0,2,4,1,1,65.57,High Risk
EMP_7709,44.0,Married,18.0,Customer Support,Software Engineer,Travel_Rarely,Arts,3704.0,4,3,3.0,2,1,1,1,63.75,High Risk
EMP_8692,44.0,Single,10.0,Legal,Sales Representative,Travel_Frequently,Arts,22125.0,18,2,2.0,1,2,1,1,68.41,High Risk
EMP_4800,26.0,Married,28.0,Unknown,Sales Representative,Travel_Rarely,Marketing,11533.0,5,4,2.0,3,4,1,1,62.09,High Risk
EMP_8712,34.0,Divorced,22.0,Finance,Paralegal,Non-Travel,Arts,13974.5,19,5,1.0,1,1,1,1,67.46,High Risk
